Indique si durante la semana pasada, es decir, entre lunes y domingo, trabajó remuneradamente al menos una hora en alguna de las siguientes actividades:;Si trabajó durante la semana pasada, ¿cuántas horas trabajó en total?;Si está trabajando ¿qué tipo de contrato posees en la actualidad?;Other;Al momento de recibir su mayor ingreso, usted:;¿A qué se dedica principalmente la empresa o institución que le genera su mayor fuente de ingresos?;Other;Durante la semana pasada ¿dónde realizó principalmente sus actividades?;Other;Desde el 18 de octubre 2019, tus ingresos respecto a los tres meses anteriores:;¿Tuvo que cambiar por completo de actividad económica como consecuencia del estallido social?;Desde que comenzo la pandemia Covid-19 en marzo de 2020, tus ingresos respecto a los tres meses anteriores:;¿Tuvo que cambiar por completo de actividad económica como consecuencia del Covid-19?;¿Cuál es tu nivel de satisfacción con tu actual situacion laboral?;¿Cuál es tu nivel de satisfacción con tu actual estado de salud?;¿Cuál es tu nivel de satisfacción con su bienestar general?;Todo siguió igual;Perdí mi trabajo;Encontré trabajo;Provocó un bajón anímico;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;Other;Todo siguió igual;Perdí mi trabajo;Encontré trabajo;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;Other;Qué tipo de proyecciones laborales tienes a partir de tu experiencia y en el área de la sociología? (Señalar hasta tres conceptos):;Metodologías cualitativas;Metodologías cuantitativas.;Gestión Pública;Metodología de Intervención;Diseño y evaluación de proyectos;Teoría sociológica;Sociologías en general;Utilización de softwares de análisis;Investigación de mercado;Otros intereses;Usted curso boletas de honorarios durante los años 2018, 2019 y 2020.;Cuántas boletas emitió durante el año 2018;Cuántas boletas emitió durante el año 2019;Cuántas boletas emitió durante el año 2020 (antes del 1 de abril);¿Su única fuente de ingresos durante el año 2018 fueron las boletas de honorarios?;¿Su única fuente de ingresos durante el año 2019 fueron las boletas de honorarios?;¿Su única fuente de ingresos durante el año 2020 ( antes del 1 de abril) fueron las boletas de honorarios?;"De aprobarse una ley que se tramita en el congreso que establece beneficios para los trabajadores a honorarios, que requiere cumplir los siguientes requisitos:  

“Haber emitido boletas de honorarios en a lo menos cuatro meses continuos o discontinuos, de los 12 meses anteriores al 1º de abril de 2020, o haber emitido boletas de honorarios en a los menos 8 meses, continuos o discontinuos, en los 24 meses anteriores a la referida fecha”. 

¿Usted estaría afecto al beneficio?";¿Qué grado académico posee?;Usted obtuvo el título profesional de sociólogo.;¿De qué universidad egresaste?;Comuna de residencia;Comuna donde trabaja;Edad;Género;¿Estás asociado/a al Colegio de Sociólogas y Sociólogos de Chile A.G?;¿Es de su interés asociarse al Colegio de Sociólogas y Sociólogos de Chile A.G?
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;Organización Internacional;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Aumentaron;0;Muy Satisfecho;Satisfecho;Insatisfecho;Todo siguió igual;;;;;;;;;;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Políticas públicas en el extranjero;Muy interesado;Muy interesado;Muy interesado;Interesado;Interesado;Interesado;Indiferente;Interesado;Nada de Interés.;Evaluación de políticas públicas;1;0;0;1;0;0;0;0;Magíster;1;U de Chile;Macul;Las Condes;37;Masculino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Disminuyeron levemente;1;Indiferente;Satisfecho;Satisfecho;Todo siguió igual;;;;;;Mejoro;Todo siguió igual;;;;;;;Contrato indefinido;Interesado;Muy interesado;Interesado;Poco interés;Poco interés;Indiferente;Interesado;Interesado;Muy interesado;;0;;;;;;;;Licenciado;0;Udec;Stgo;;30;Masculino;0;1
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Aumentaron levemente;0;Aumentaron levemente;0;Satisfecho;Satisfecho;Muy Satisfecho;Todo siguió igual;;;;;;;Todo siguió igual;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;"Me proyecto formulando proyectos y desarrollandolos en áreaa de empleabilidas.
Me proyecto subiendo de cargo en otro";Interesado;Muy interesado;Indiferente;Muy interesado;Muy interesado;Indiferente;Interesado;Muy interesado;Nada de Interés.;;1;9;2;0;1;0;0;0;Magíster;1;Universidad de Concepción;Providencia;Santiago centro;41;Femenino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;0;Disminuyeron totalmente;0;Muy insatisfecho;Satisfecho;Satisfecho;;Perdí mi trabajo;;Provocó un bajón anímico;;;;;Perdí mi trabajo;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Trabajo o proyecto estable;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Interesado;Poco interés;Sociología educativa;1;7;4;0;1;1;1;1;Licenciado;1;Universidad Arturo Prat;Iquique;Iquique, Pica;37;Masculino;1;
Desempleado;;;;;;;;;Aumentaron levemente;0;Aumentaron levemente;0;Insatisfecho;Muy Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;;Interesado;Muy interesado;Interesado;Interesado;Muy interesado;Interesado;Interesado;Muy interesado;Muy interesado;;1;;;;1;;1;0;Licenciado;1;;La Serena;;24;Femenino;0;1
Trabajo dependiente remunerado;44;Informal (sin formalización de contrato);;Entrega boleta de honorarios;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;;0;Aumentaron;0;Satisfecho;Satisfecho;Insatisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;;;Afectó mi salud corporal y/o mental;;Continuar estudiando, Trabajar en un área específica.;Interesado;Interesado;Interesado;Muy interesado;Muy interesado;Poco interés;Indiferente;Interesado;Nada de Interés.;Educación, Infancia.;1;10;18;1;1;1;1;1;Licenciado;1;Universidad Alberto Hurtado;La Reina;Las Condes;27;Masculino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Disminuyeron totalmente;1;Muy Satisfecho;Muy insatisfecho;Muy Satisfecho;;Perdí mi trabajo;;;;;;Todo siguió igual;Perdí mi trabajo;;;;;;Formcion;Poco interés;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Indiferente;Muy interesado;Interesado;.;0;;;;;;;;Licenciado;1;UCENTRAL;Peñalolen;Desempleado;26;Masculino;0;1
Trabajo dependiente remunerado;30;Contrato a honorarios;;Entrega factura;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;0;Disminuyeron levemente;0;Insatisfecho;Satisfecho;Insatisfecho;;;;Provocó un bajón anímico;;;;;;;;Tuvo consecuencias emocionales;;;Nuevo trabajo remunerado;Muy interesado;Interesado;Muy interesado;Interesado;Muy interesado;Interesado;Muy interesado;Interesado;Poco interés;Género y sociología;0;;;;;;;;Licenciado;1;Universidad de la Frontera;Temuco;Traiguen;44;Femenino;0;1
Trabajo independiente remunerado;40;Contrato a honorarios;;Entrega boleta de honorarios;Investigación;;En mi hogar en modalidad teletrabajo;;Aumentaron levemente;0;Aumentaron levemente;0;Satisfecho;Muy Satisfecho;Satisfecho;;;;;;Afectó mi salud corporal y/o mental;;;;;;Tuvo consecuencias emocionales;;;investigación y academia;Muy interesado;Interesado;Poco interés;Indiferente;Indiferente;Muy interesado;Muy interesado;Muy interesado;Nada de Interés.;sociología del trabajo;1;5;4;3;1;1;1;1;Magíster;1;udec;valdivia;chillan;36;Femenino;0;1
Trabajo dependiente remunerado;22;Contrato indefinido;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Disminuyeron levemente;0;Muy insatisfecho;Satisfecho;Muy Satisfecho;;;;;;;;;;;;;Afectó mi salud corporal y/o mental;;Universidad;Muy interesado;Poco interés;Poco interés;Interesado;Interesado;Muy interesado;Muy interesado;Poco interés;Poco interés;;1;0;4;3;0;0;0;0;Postdoctorado;1;PUC;Viña del mar;Viña del mar;40;Femenino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;0;Se mantuvieron igual;0;Insatisfecho;Muy Satisfecho;Satisfecho;Todo siguió igual;;;;;Afectó mi salud corporal y/o mental;;Todo siguió igual;;;;;Afectó mi salud corporal y/o mental;;"Encontrar trabajo como socióloga 
Encontrar cualquier tipo de trabajo 
Seguir con mi voluntario en un equipo de estudios feminista";Muy interesado;Muy interesado;Interesado;Poco interés;Interesado;Indiferente;Interesado;Muy interesado;Poco interés;"Género 
Feminismo 
Educacion";1;12;6;2;1;1;1;1;Licenciado;1;Universidad Católica Silva Henríquez;Melipilla;No aplica;27;Femenino;0;0
Trabajo independiente remunerado;40;Contrato a honorarios;;Entrega boleta de honorarios;Municipio;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;;;;;;Sobrecarga cuidados de persona con dependencia, coordinación trabajos domésticos y crisis economia del cuidado;Creo que es necesaria trabajar en impulsar la importancia del rol del sociólog@ en contextos actuales, por mi parte bastante trabajo en el área de los cuidados, discapacidad y dependencia.;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Interesado;Interesado;Interesado;Metodologías socioterritoriales y urbanismo feminista, inclusivo, etc.;1;12;12;3;1;1;1;1;Magíster;1;Arcis;Conchalí;Municipalidad;33;Femenino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;1;Disminuyeron totalmente;0;Insatisfecho;Muy Satisfecho;Satisfecho;;;;;;;Fue una chance para regresar a la política.;;Perdí mi trabajo;;;;;;Política profesional;Interesado;Poco interés;Muy interesado;Interesado;Poco interés;Interesado;Interesado;Nada de Interés.;Nada de Interés.;;1;25;10;1;1;0;0;0;Licenciado;1;Universidad de Concepción;Concepción;Concepción;26;Masculino;0;0
Trabajo dependiente remunerado;40;Contrato a honorarios;;Entrega boleta de honorarios;Municipio;;En instalaciones regulares del empleador;;Se mantuvieron igual;0;Se mantuvieron igual;0;Insatisfecho;Muy Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;;;;Tuvo consecuencias emocionales;;;"Participar en un grupo de investigación.
Dejar el servicio público";Interesado;Indiferente;Poco interés;Interesado;Interesado;Muy interesado;Muy interesado;Interesado;Indiferente;Intervención desde el sector privado;1;12;12;3;0;0;0;1;Magíster;0;ARCIS;Temuco;Temuco;49;Femenino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Disminuyeron totalmente;1;Muy insatisfecho;Muy Satisfecho;Muy Satisfecho;;;;;;;Participé activamente de todo acto social en plaza dignidad;;;;Provocó un bajón anímico;;;;Investigación DO PP;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Interesado;Sociologia del deporte;1;5;7;1;1;1;1;1;Licenciado;1;UNAB;La Florida;Trabaje en Providencia;28;Femenino;0;1
Trabajo dependiente remunerado;40;Contrato indefinido;;Recibe una liquidación de sueldo;Políticas públicas;;En mi hogar en modalidad teletrabajo;;Aumentaron;0;Aumentaron;0;Muy insatisfecho;Muy insatisfecho;Muy insatisfecho;Todo siguió igual;;;;;;;Todo siguió igual;;;;;;;Crecimiento;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Interesado;Interesado;Interesado;Urbanismo;1;12;12;6;0;0;0;1;Licenciado;;puc;Puerto Varas;Puerto Varas;28;Masculino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy insatisfecho;Satisfecho;Indiferente;Todo siguió igual;;;Provocó un bajón anímico;;;;Todo siguió igual;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Investigación, Análisis, Desarrollo humano;Muy interesado;Interesado;Indiferente;Interesado;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Análisis de mercado;1;1;0;0;1;1;1;0;Licenciado;1;Universidad de Concepción;Hualpén;Desempleado;26;Masculino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Disminuyeron totalmente;1;Muy Satisfecho;Indiferente;Satisfecho;Todo siguió igual;;;;;;;;;;Provocó un bajón anímico;;;;Encontrar cualquier trabajo;Muy interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Sociología del deporte;1;3;3;0;1;1;0;1;Licenciado;1;Universidad Central;La Serena;No trabajo;28;Masculino;0;1
Desempleado;;;;;;;;;Se mantuvieron igual;0;Disminuyeron totalmente;1;Muy insatisfecho;Muy Satisfecho;Muy Satisfecho;Todo siguió igual;;;;;;;;Perdí mi trabajo;;Provocó un bajón anímico;;;;Intervención comunitaria;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Interesado;Interesado;Muy interesado;Poco interés;99;1;10;24;3;1;1;1;1;Licenciado;0;Arcis;La Florida;Huechuraba;29;Masculino;0;0
Trabajo dependiente remunerado;33;Contrato a honorarios;;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Disminuyeron levemente;0;Aumentaron;0;Satisfecho;Satisfecho;Satisfecho;;Perdí mi trabajo;;;;;;Todo siguió igual;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Política, Comunicación, Organización;Muy interesado;Muy interesado;Interesado;Muy interesado;Interesado;Interesado;Interesado;Muy interesado;Indiferente;Género, Otras;0;;;;;;;;Magíster;1;PUC;Temuco;Temuco;29;Femenino;0;1
Trabajo independiente remunerado;10;Informal (sin formalización de contrato);;Entrega boleta de honorarios;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;Aumentaron levemente;0;Disminuyeron totalmente;1;Muy insatisfecho;Muy Satisfecho;Insatisfecho;;;;;;Afectó mi salud corporal y/o mental;;;Perdí mi trabajo;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Difícil tener proyecciones;Muy interesado;Interesado;Interesado;Muy interesado;Indiferente;Interesado;Muy interesado;Muy interesado;Poco interés;Políticas públicas;1;6;20;6;1;1;1;1;Licenciado;1;UdeC;Concepción;Concepción;24;Femenino;0;1
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Muy Satisfecho;Muy Satisfecho;Muy Satisfecho;Todo siguió igual;;;;;;;Todo siguió igual;;;;;;;Hacer estudios sobre empleo y estructura mercado laboral;Muy interesado;Muy interesado;Indiferente;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Indiferente;"Sociología Laboral; Sustentabilidad y desarrollo alternativo";1;5;4;0;0;0;0;1;Magíster;1;Universidad de Chile;Talca;Talca;45;Masculino;0;1
Trabajo independiente remunerado;5;Informal (sin formalización de contrato);;Entrega boleta de honorarios;;;En mi hogar en modalidad teletrabajo;;Disminuyeron totalmente;0;Disminuyeron totalmente;0;Muy insatisfecho;Satisfecho;Indiferente;;Perdí mi trabajo;;;;;;;Perdí mi trabajo;;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Territorio, Educación e Inveatigacion;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Indiferente;Interesado;Muy interesado;Interesado;SocioAmbiental, Economías Renovadas.;1;6;8;0;0;0;0;1;Licenciado;1;Arcis;La Reina;La Reina;38;Femenino;0;1
Desempleado;;;;;;;;;Disminuyeron levemente;0;Disminuyeron levemente;1;Muy insatisfecho;Insatisfecho;Insatisfecho;;Perdí mi trabajo;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;desarrollo social, Desarrollo urbano, y medio ambiente;Muy interesado;Indiferente;Interesado;Indiferente;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;ambiental;1;4;14;0;1;1;1;0;Licenciado;1;Universidad Andres bello;Quintero;no trabajo;29;Masculino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Disminuyeron totalmente;1;Muy insatisfecho;Satisfecho;Indiferente;Todo siguió igual;;;;;;;Todo siguió igual;;;;;;;Servicio público, Postulación a proyectos, Odiar la Sociología;Interesado;Muy interesado;Muy interesado;Interesado;Interesado;Poco interés;Nada de Interés.;Muy interesado;Indiferente;Vincular las ciencias sociales a la música o al deporte;1;3;6;1;1;1;1;1;Licenciado;1;Universidad Católica del Maule;Curicó;dato perdido;26;Masculino;0;1
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Insatisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;Todo siguió igual;;;;;Afectó mi salud corporal y/o mental;;Estoy en proceso de reconversión a data science;Nada de Interés.;Muy interesado;Interesado;Indiferente;Muy interesado;Interesado;Nada de Interés.;Muy interesado;Interesado;Análisis institucionales educativos;1;3;0;0;0;0;0;0;Licenciado;0;Universidad de Chile;Puente Alto;Santiago;45;Masculino;0;1
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Disminuyeron totalmente;1;Muy insatisfecho;Satisfecho;Muy insatisfecho;;;;Provocó un bajón anímico;;;;;;;;Tuvo consecuencias emocionales;;;Trabajar en ciencia de datos, encontrar un trabajo estable, investigar en el area de datos, redes y sociedad;Interesado;Muy interesado;Muy interesado;Indiferente;Indiferente;Indiferente;Interesado;Muy interesado;Muy interesado;;1;12;6;0;1;1;0;0;Magíster;1;Alberto Hurtado;San Miguel;Ninguna;30;Masculino;1;
Desempleado;;;;;;;;;Disminuyeron totalmente;0;Disminuyeron totalmente;1;Muy insatisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;colaborar en el área de políticas públicas;Interesado;Indiferente;Interesado;Muy interesado;Interesado;Muy interesado;Interesado;Poco interés;Nada de Interés.;desarrollo organizacional;1;5;6;0;1;1;1;1;Magíster;1;Universidad Andrés Bello;San Bernardo;no trabajo actualmente;23;Femenino;0;1
Trabajo dependiente remunerado;45;Contrato indefinido;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Aumentaron levemente;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;;;;;;Provocó un bajón anímico;;;;Las que ya tenía;Interesado;Poco interés;Poco interés;Poco interés;Poco interés;Muy interesado;Interesado;Interesado;Nada de Interés.;Estudios de otras regiones aplicando la sociología;1;6;6;3;0;0;0;0;Doctorado;1;Uc;Providencia;Santiago;36;Femenino;0;1
Trabajo dependiente remunerado;44;Contrato a honorarios;;Entrega boleta de honorarios;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Disminuyeron totalmente;0;Disminuyeron totalmente;0;Satisfecho;Satisfecho;Satisfecho;Todo siguió igual;;;;;;;;;;;;;Disminuyó las horas de trabajo y remuneraciones;Muy pocas, no existe mucha oferta de trabajo y con el Covid hay posibilidad de perder el empleo al trabajar a honorarios;Muy interesado;Muy interesado;Muy interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Sociología económica y del trabajo;1;6;6;1;0;0;1;0;Magíster;1;Universidad Católica del Maule;Talca;Curicó;31;Masculino;0;1
Desempleado;;;;;;;;;Disminuyeron levemente;0;Aumentaron levemente;0;Insatisfecho;Satisfecho;Indiferente;;;;Provocó un bajón anímico;Trajo conflictos familiares;Afectó mi salud corporal y/o mental;;;;Encontré trabajo;;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;salud mental, capital social, infancias;Muy interesado;Indiferente;Interesado;Muy interesado;Interesado;Interesado;Interesado;Indiferente;Poco interés;género, juventudes, reinserción social, educación, derechos, prevención;1;0;3;0;0;0;0;1;Licenciado;1;Pontificia Universidad Católica de Chile;Sector oriente.;no trabajo, han sido teletrabajos a nivel de pequeños estudios;24;Femenino;1;
Desempleado;;;;;;;;;Aumentaron levemente;0;Disminuyeron totalmente;0;Insatisfecho;Satisfecho;Insatisfecho;;Perdí mi trabajo;;Provocó un bajón anímico;;;;;;;;;;No he podido encontrar trabajo;Realizar encuestas;Interesado;Interesado;Interesado;Interesado;Muy interesado;Interesado;Interesado;Interesado;Indiferente;;1;0;5;0;0;1;0;1;Licenciado;1;Unversidad Alberto Hurtado;Cerrillos;Ninguna;26;Femenino;0;0
Desempleado;;;;;;;;;Disminuyeron totalmente;1;Disminuyeron totalmente;1;Muy insatisfecho;Satisfecho;Insatisfecho;;;;Provocó un bajón anímico;;Afectó mi salud corporal y/o mental;;;Perdí mi trabajo;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Mínimas. Precariedad. Inestabilidad.;Indiferente;Muy interesado;Muy interesado;Interesado;Indiferente;Indiferente;Indiferente;Muy interesado;Poco interés;Políticas públicas;1;16;19;1;1;0;1;1;Licenciado;1;Pontificia universidad católica de chile;Macul;;30;Femenino;0;1
Trabajo independiente remunerado;45;Contrato a honorarios;;Entrega boleta de honorarios;Proyectos sociales;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Disminuyeron levemente;0;Satisfecho;Indiferente;Insatisfecho;;;;;;;Problema de transitony ejecución de proyectos;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;Afectó mi salud corporal y/o mental;;Estabilidad relativa por trabajo independiente;Interesado;Interesado;Muy interesado;Muy interesado;Muy interesado;Interesado;Indiferente;Interesado;Poco interés;Perfeccionamiento academico;1;20;25;9;1;1;1;1;Magíster;1;Universidad central;Maipú;Sodem y CIAL;31;Masculino;1;
Desempleado;;;;;;;;;Aumentaron;1;Disminuyeron totalmente;1;Insatisfecho;Indiferente;Satisfecho;Todo siguió igual;;;;;;;;;;;;;No sé si fue influenciado por la pandemia perder mi trabajo;Que se calme la pandemia, encontrar trabajo, ser feliz;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Muy interesado;Indiferente;Sociología de la educación;1;6;5;0;0;0;0;1;Licenciado;1;La Frontera;Concepción;Concepción;33;Masculino;0;1
Desempleado;;;;;;;;;Disminuyeron levemente;0;Disminuyeron totalmente;1;Muy insatisfecho;Satisfecho;Indiferente;Todo siguió igual;;;;;;;;Perdí mi trabajo;;;;;;A partir de mi experiencia, proyecto que dentro de los próximos años tendré que trabajar en lo que sea para generar ingresos como lo he hecho hasta ahora, tenido muchos empleos precarios e informales, actualmente estoy cesante. Me titulé hace un año y no tengo demasiadas expectativas ni proyecciones laborales como socióloga, vivo en región, en una comuna pequeña y no hay trabajo.;Muy interesado;Interesado;Interesado;Interesado;Interesado;Poco interés;Interesado;Interesado;Interesado;.;1;1;7;0;1;0;0;1;Licenciado;1;Universidad de Concepción;Cañete;Estoy cesante;26;Femenino;0;1
Trabajo dependiente remunerado;44;Contrato indefinido;;Recibe una liquidación de sueldo;Educación o capacitación;;En mi hogar en modalidad teletrabajo;;Se mantuvieron igual;0;Se mantuvieron igual;0;Satisfecho;Satisfecho;Satisfecho;;;;Provocó un bajón anímico;;;;;;;Provocó un bajón anímico;Tuvo consecuencias emocionales;;;Mejorar ingreso y aprender mas de PP;Indiferente;Muy interesado;Muy interesado;Interesado;Muy interesado;Indiferente;Indiferente;Muy interesado;Interesado;Salud y educacion;1;6;6;0;0;0;0;0;Magíster;1;U. Central;Ñuñoa;Peñalolén;35;Masculino;0;0
